game_id,x,y,player
1,13,7,1
1,6,8,2
2,6,5,1
3,7,6,1
3,6,5,2
3,8,7,1
3,12,8,2
3,9,8,1
3,9,9,2
3,10,9,1
3,8,6,2
3,11,10,1
3,11,5,1
3,12,3,1
3,11,2,1
3,10,2,1
3,9,3,1
3,8,4,1
3,5,4,1
3,8,5,1
4,11,5,1
4,6,5,2
4,10,3,1
4,9,11,2
4,14,0,1
4,12,4,2
5,8,5,1
5,6,5,2
5,8,6,1
5,2,8,2
5,8,7,1
5,4,8,2
5,8,8,1
5,3,10,2
5,8,9,1
6,8,4,1
6,6,5,2
6,8,5,1
6,12,6,2
6,8,6,1
6,11,11,2
6,8,7,1
6,7,2,2
6,8,8,1
7,8,3,1
7,6,5,2
7,8,4,1
7,2,0,2
7,8,5,1
7,14,2,2
7,8,6,1
7,0,4,2
7,8,7,1
8,8,3,1
8,6,5,2
8,8,4,1
8,10,11,2
8,8,5,1
8,8,2,2
8,8,6,1
8,14,1,2
8,8,7,1
9,8,4,1
9,6,5,2
9,8,5,1
9,7,0,2
9,8,6,1
9,0,2,2
9,8,7,1
9,0,13,2
9,8,8,1
10,8,3,1
10,6,5,2
10,8,4,1
10,14,8,2
10,8,5,1
10,8,6,2
10,8,7,1
10,14,12,2
10,8,2,1
10,5,6,2
10,8,8,1
10,13,1,2
10,8,1,1
11,8,3,1
11,6,5,2
11,8,4,1
11,9,13,2
11,8,5,1
11,12,10,2
11,8,6,1
11,0,5,2
11,8,7,1
12,8,3,1
12,6,5,2
12,8,4,1
12,10,13,2
12,8,5,1
12,10,1,2
12,8,6,1
12,5,12,2
12,8,7,1
13,8,3,1
13,6,5,2
13,8,4,1
13,14,0,2
13,8,5,1
13,6,12,2
13,8,6,1
13,5,5,2
13,8,7,1
14,7,2,1
14,6,5,2
14,7,3,1
14,1,13,2
14,7,4,1
14,14,7,2
14,7,5,1
14,11,7,2
14,7,7,1
14,2,11,2
14,7,6,1
15,10,4,1
15,9,13,2
15,9,5,1
15,3,10,2
15,8,6,1
15,6,5,2
15,7,7,1
15,5,6,2
15,6,8,1
16,0,0,1
16,10,13,2
16,0,1,1
16,6,5,2
16,0,2,1
16,8,6,2
16,0,3,1
16,6,5,2
16,0,4,1
17,0,0,1
17,6,5,2
17,0,1,1
17,9,13,2
17,0,2,1
17,14,12,2
17,0,3,1
17,14,8,2
17,0,4,1
18,0,0,1
18,8,6,2
18,0,1,1
18,12,4,2
18,0,2,1
18,6,5,2
18,0,3,1
18,6,8,2
18,0,4,1
19,0,0,1
19,2,8,2
19,0,1,1
19,6,5,2
19,0,2,1
19,6,5,2
19,0,3,1
19,6,5,2
19,0,4,1
20,0,0,1
20,6,5,2
20,0,1,1
20,6,5,2
20,0,2,1
20,5,12,2
20,0,3,1
20,2,8,2
20,0,4,1
21,0,0,1
21,6,5,2
21,0,1,1
21,1,13,2
21,0,2,1
21,6,5,2
21,0,3,1
21,12,6,2
21,0,4,1
22,0,1,1
22,14,8,2
22,0,0,1
22,6,5,2
22,0,2,1
22,2,11,2
22,0,3,1
22,10,13,2
22,0,4,1
23,0,0,1
23,6,5,2
23,0,1,1
23,4,8,2
23,0,2,1
23,6,5,2
23,0,3,1
23,6,5,2
23,0,4,1
23,0,5,1
1,13,7,1
1,6,8,2
2,6,5,1
3,7,6,1
3,6,5,2
3,8,7,1
3,12,8,2
3,9,8,1
3,9,9,2
3,10,9,1
3,8,6,2
3,11,10,1
3,11,5,1
3,12,3,1
3,11,2,1
3,10,2,1
3,9,3,1
3,8,4,1
3,5,4,1
3,8,5,1
4,11,5,1
4,6,5,2
4,10,3,1
4,9,11,2
4,14,0,1
4,12,4,2
5,8,5,1
5,6,5,2
5,8,6,1
5,2,8,2
5,8,7,1
5,4,8,2
5,8,8,1
5,3,10,2
5,8,9,1
6,8,4,1
6,6,5,2
6,8,5,1
6,12,6,2
6,8,6,1
6,11,11,2
6,8,7,1
6,7,2,2
6,8,8,1
7,8,3,1
7,6,5,2
7,8,4,1
7,2,0,2
7,8,5,1
7,14,2,2
7,8,6,1
7,0,4,2
7,8,7,1
8,8,3,1
8,6,5,2
8,8,4,1
8,10,11,2
8,8,5,1
8,8,2,2
8,8,6,1
8,14,1,2
8,8,7,1
9,8,4,1
9,6,5,2
9,8,5,1
9,7,0,2
9,8,6,1
9,0,2,2
9,8,7,1
9,0,13,2
9,8,8,1
10,8,3,1
10,6,5,2
10,8,4,1
10,14,8,2
10,8,5,1
10,8,6,2
10,8,7,1
10,14,12,2
10,8,2,1
10,5,6,2
10,8,8,1
10,13,1,2
10,8,1,1
11,8,3,1
11,6,5,2
11,8,4,1
11,9,13,2
11,8,5,1
11,12,10,2
11,8,6,1
11,0,5,2
11,8,7,1
12,8,3,1
12,6,5,2
12,8,4,1
12,10,13,2
12,8,5,1
12,10,1,2
12,8,6,1
12,5,12,2
12,8,7,1
13,8,3,1
13,6,5,2
13,8,4,1
13,14,0,2
13,8,5,1
13,6,12,2
13,8,6,1
13,5,5,2
13,8,7,1
14,7,2,1
14,6,5,2
14,7,3,1
14,1,13,2
14,7,4,1
14,14,7,2
14,7,5,1
14,11,7,2
14,7,7,1
14,2,11,2
14,7,6,1
15,10,4,1
15,9,13,2
15,9,5,1
15,3,10,2
15,8,6,1
15,6,5,2
15,7,7,1
15,5,6,2
15,6,8,1
16,0,0,1
16,10,13,2
16,0,1,1
16,6,5,2
16,0,2,1
16,8,6,2
16,0,3,1
16,6,5,2
16,0,4,1
17,0,0,1
17,6,5,2
17,0,1,1
17,9,13,2
17,0,2,1
17,14,12,2
17,0,3,1
17,14,8,2
17,0,4,1
18,0,0,1
18,8,6,2
18,0,1,1
18,12,4,2
18,0,2,1
18,6,5,2
18,0,3,1
18,6,8,2
18,0,4,1
19,0,0,1
19,2,8,2
19,0,1,1
19,6,5,2
19,0,2,1
19,6,5,2
19,0,3,1
19,6,5,2
19,0,4,1
20,0,0,1
20,6,5,2
20,0,1,1
20,6,5,2
20,0,2,1
20,5,12,2
20,0,3,1
20,2,8,2
20,0,4,1
21,0,0,1
21,6,5,2
21,0,1,1
21,1,13,2
21,0,2,1
21,6,5,2
21,0,3,1
21,12,6,2
21,0,4,1
22,0,1,1
22,14,8,2
22,0,0,1
22,6,5,2
22,0,2,1
22,2,11,2
22,0,3,1
22,10,13,2
22,0,4,1
23,0,0,1
23,6,5,2
23,0,1,1
23,4,8,2
23,0,2,1
23,6,5,2
23,0,3,1
23,6,5,2
23,0,4,1
23,0,5,1
24,6,1,1
24,7,2,2
24,0,0,1
24,8,2,2
24,0,1,1
24,4,8,2
24,0,2,1
24,7,2,2
24,0,3,1
24,14,8,2
24,0,4,1
25,0,0,1
25,2,0,2
25,0,1,1
25,8,6,2
25,0,2,1
25,6,5,2
25,0,3,1
25,10,13,2
25,0,4,1
26,0,0,1
26,10,13,2
26,0,1,1
26,5,12,2
26,0,2,1
26,6,5,2
26,0,3,1
26,12,10,2
26,0,4,1
27,6,6,1
27,12,8,2
27,7,5,1
27,8,6,2
27,6,3,1
27,5,12,2
27,6,4,1
27,8,2,2
27,8,5,1
27,10,13,2
27,9,6,1
27,6,5,2
27,8,7,1
27,5,6,2
27,7,6,1
27,7,2,2
27,7,7,1
27,8,6,2
27,7,8,1
27,12,10,2
27,7,9,1
28,8,5,1
28,3,10,2
28,7,4,1
28,8,6,2
28,6,3,1
28,2,8,2
28,8,2,1
28,10,13,2
28,9,6,1
28,8,2,2
29,8,8,1
29,10,13,2
29,8,7,1
29,6,5,2
29,8,6,1
29,10,11,2
29,8,5,1
29,14,12,2
29,8,4,1
29,10,4,1
29,10,5,1
30,10,5,1
30,6,5,2
30,12,2,1
30,14,8,2
30,9,2,1
30,5,12,2
30,8,6,1
30,8,6,2
30,8,9,1
30,6,5,2
30,10,9,1
30,6,5,2
30,10,10,1
30,14,8,2
30,7,10,1
30,6,5,2
30,7,9,1
30,12,6,2
30,6,10,1
30,12,8,2
30,7,8,1
30,9,11,2
30,5,9,1
30,0,13,2
30,6,8,1
30,10,13,2
30,6,9,1
30,8,6,2
31,3,2,1
31,2,8,2
31,6,2,1
31,9,11,2
31,8,3,1
31,14,0,2
31,3,6,1
31,2,11,2
31,1,2,1
31,8,2,2
31,10,5,1
31,14,8,2
31,10,2,1
31,8,2,2
32,13,13,1
32,6,5,2
32,12,12,1
32,2,8,2
32,0,0,1
32,0,5,2
32,1,0,1
32,13,1,2
32,2,1,1
32,6,5,2
32,3,2,1
32,6,5,2
32,4,3,1
32,10,13,2
32,5,4,1
33,0,0,1
33,14,2,2
33,4,0,1
33,6,5,2
33,9,0,1
33,2,8,2
33,14,0,1
33,10,13,2
34,3,0,1
34,3,10,2
34,7,2,1
34,2,8,2
34,2,4,1
34,10,13,2
34,1,3,1
34,8,6,2
34,7,6,1
34,8,6,2
34,7,3,1
34,8,6,2
34,7,4,1
34,5,12,2
34,7,5,1
35,7,5,1
35,6,5,2
35,8,4,1
35,6,5,2
35,7,6,1
35,6,5,2
35,6,7,1
35,6,5,2
35,6,8,1
35,6,8,2
35,6,9,1
35,6,5,2
35,9,9,1
35,12,4,2
35,2,7,1
35,6,5,2
35,2,8,1
35,6,5,2
35,7,2,1
35,12,10,2
35,8,2,1
35,9,11,2
35,10,5,1
35,11,7,2
35,10,7,1
35,6,5,2
35,5,4,1
35,14,1,2
35,4,5,1
35,12,6,2
35,5,6,1
35,8,2,2
35,6,4,1
35,0,5,2
35,6,3,1
35,5,5,2
35,9,4,1
35,6,5,2
35,7,9,1
35,9,13,2
35,8,9,1
35,12,6,2
35,8,7,1
35,6,5,2
35,12,7,1
35,8,6,2
35,11,9,1
35,7,0,2
35,10,10,1
35,12,6,2
35,6,2,1
35,12,4,2
35,9,5,1
35,6,5,2
35,5,1,1
35,6,5,2
35,11,5,1
35,12,4,2
35,10,6,1
35,5,6,2
35,4,0,1
35,10,1,2
35,7,3,1
36,6,1,1
36,13,1,2
36,6,5,1
36,10,1,2
36,6,8,1
36,6,5,2
36,9,1,1
36,10,13,2
36,2,5,1
36,6,5,2
36,10,5,1
36,6,5,2
36,10,3,1
36,12,10,2
36,8,8,1
36,14,1,2
36,2,6,1
36,6,5,2
36,6,4,1
36,12,4,2
36,5,5,1
36,6,12,2
36,4,4,1
36,5,6,2
36,6,3,1
36,8,2,2
36,6,2,1
36,12,4,2
36,8,1,1
36,6,5,2
36,7,1,1
36,10,13,2
36,7,5,1
36,2,8,2
36,8,5,1
36,14,0,2
36,9,5,1
36,6,5,2
36,10,4,1
36,9,13,2
36,6,7,1
36,6,5,2
36,6,6,1
36,2,11,2
36,7,8,1
36,12,6,2
36,3,5,1
36,5,6,2
36,4,5,1
36,6,5,2
36,2,7,1
36,5,5,2
36,12,2,1
36,6,5,2
36,12,3,1
36,8,6,2
36,12,5,1
36,6,5,2
36,12,7,1
36,2,11,2
36,12,8,1
36,6,5,2
36,12,9,1
36,6,5,2
36,11,10,1
36,8,6,2
36,10,10,1
36,8,6,2
36,10,9,1
36,9,13,2
37,12,2,1
37,6,5,2
37,9,3,1
37,8,6,2
38,9,3,1
38,14,8,2
38,8,3,1
38,6,5,2
38,7,3,1
38,14,1,2
38,6,3,1
38,10,1,2
38,6,4,1
38,5,5,2
38,5,4,1
38,6,5,2
38,5,3,1
39,9,5,1
39,6,5,2
39,8,4,1
39,0,5,2
39,8,3,1
39,3,10,2
39,7,3,1
39,6,5,2
39,7,2,1
39,5,12,2
39,6,2,1
39,8,6,2
39,4,2,1
39,8,2,2
39,4,3,1
39,8,6,2
39,4,4,1
39,12,6,2
39,4,5,1
39,6,5,2
39,5,6,1
39,9,11,2
39,6,7,1
39,2,11,2
39,7,8,1
39,10,1,2
39,9,7,1
39,12,6,2
39,10,8,1
39,6,5,2
39,11,8,1
39,6,5,2
39,12,7,1
39,2,0,2
40,10,2,1
40,6,5,2
40,10,3,1
40,12,6,2
40,10,4,1
40,12,8,2
40,10,5,1
40,6,5,2
40,9,4,1
40,6,5,2
40,7,3,1
40,6,5,2
40,4,6,1
40,6,5,2
40,3,8,1
40,6,5,2
40,8,9,1
40,1,13,2
40,10,9,1
40,2,0,2
40,9,8,1
40,12,6,2
40,11,6,1
40,14,0,2
40,11,7,1
40,6,5,2
40,11,8,1
40,6,8,2
40,11,9,1
40,2,8,2
40,11,10,1
